Baker Hughes joins oil rivals in pausing Russian operations - Fox Business2022-03-19T19:33:06Z,Baker Hughes joins oil rivals in pausing Russian operations - Fox Business,U.S. oil field services company Baker Hughes said Saturday that it was suspending new investments for its Russia operations.,https://www.foxbusiness.com/markets/baker-hughes-joins-oil-rivals-pausing-russian-operations,https://a57.foxnews.com/static.foxbusiness.com/foxbusiness.com/content/uploads/2022/03/0/0/AP22078560809164.jpg?ve=1&tl=1,"{""id"":null,""name"":""Fox Business""}",,GENERAL,2022-03-19 14:33:06
Disney Investigating Greys Anatomy Writer Who Allegedly Faked Her Own Medical History  E NEWS20220319T024446Z,Disney Investigating Grey's Anatomy Writer Who Allegedly Faked Her Own Medical History - E! NEWS,"Grey's Anatomy writer Elisabeth Finch has been placed on administrative leave pending an investigation into claims that she fabricated parts of her medical history, E! News has learned.",https://www.eonline.com/news/1323747/disney-investigating-greys-anatomy-writer-who-allegedly-faked-her-own-medical-history,"https://akns-images.eonline.com/eol_images/Entire_Site/2022218/rs_1200x1200-220318142757-1200-Elisabeth-FinchGreys-Anatomy.jpg?fit=around%7C1080:1080&output-quality=90&crop=1080:1080;center,top","{""id"":null,""name"":""Eonline.com""}",,GENERAL,2022-03-18 21:44:46
Priyanka Chopra and Nick Jonas Celebrate Their First Holi Since Welcoming Baby - E! NEWS2022-03-19T20:41:21Z,Priyanka Chopra and Nick Jonas Celebrate Their First Holi Since Welcoming Baby - E! NEWS,"Two months after welcoming their first child, Priyanka Chopra and Nick Jonas celebrated the Hindu festival of Holi at a private home in Los Angeles.",https://www.eonline.com/news/1323809/priyanka-chopra-and-nick-jonas-celebrate-their-first-holi-since-welcoming-baby,"https://akns-images.eonline.com/eol_images/Entire_Site/2022219/rs_1200x1200-220319093348-1200-nick-jonas-priyanka-chopra-instagram-holi-031822.jpg?fit=around%7C1080:1080&output-quality=90&crop=1080:1080;center,top","{""id"":null,""name"":""Eonline.com""}",,GENERAL,2022-03-19 15:41:21
4 Marines die in NATO drill in Norway  CBS News20220319T140155Z,4 Marines die in NATO drill in Norway - CBS News,"The Marines, assigned to 2nd Marine Aircraft Wing, II Marine Expeditionary Force, were taking part in a NATO exercise called Cold Response.",https://www.cbsnews.com/news/osprey-v-22-crash-norway/,https://cbsnews2.cbsistatic.com/hub/i/r/2012/05/23/5c34223c-d00f-403b-aea4-976116d38fb4/thumbnail/1200x630/8f361e2e2e365ce4409366d3f8b137d5/fleetweek_120523_62.jpg,"{""id"":""cbs-news"",""name"":""CBS News""}",,GENERAL,2022-03-19 09:01:55
Naomi Irion missing Teen possibly kidnapped in her own car from Walmart parking lot police say  KTRKTV20220317T214500Z,"Naomi Irion missing: Teen possibly kidnapped in her own car from Walmart parking lot, police say - KTRK-TV","Naomi Irion missing: A teen's disappearance from a Fernley, NV Walmart appears to be a kidnapping that was caught on video, police say.",https://abc13.com/naomi-irion-missing-fernley-kidnapping-nv-walmart/11659245/,https://cdn.abcotvs.com/dip/images/11659178_031722-wls-reno-missing-woman-11avo-vid.jpg?w=1600,KTRK-TV,,GENERAL,2022-03-17 16:45:00
"Russian court extends US basketball star Brittney Griner's arrest until May 19, reports TASS - CNN2022-03-17T14:14:00Z","Russian court extends US basketball star Brittney Griner's arrest until May 19, reports TASS - CNN","A Moscow court announced it has extended the arrest of American basketball star Brittney Griner until May 19, according to Russian state news agency TASS.",https://www.cnn.com/2022/03/17/sport/brittney-griner-russia-detention-extended-spt-intl/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220311023551-wnba-brittney-griner-052019-file-super-tease.jpg,CNN,,GENERAL,2022-03-17 09:14:00
Biden on Putin: 'I think he is a war criminal' - CNN2022-03-17T12:25:08Z,Biden on Putin: 'I think he is a war criminal' - CNN,"President Joe Biden called Russian President Vladimir Putin a ""war criminal"" Wednesday, a rhetorical leap that came as civilian deaths mount in Ukraine.",https://www.cnn.com/2022/03/16/politics/biden-calls-putin-a-war-criminal/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220316151351-02-joe-biden-covid-file-restricted-super-tease.jpg,CNN,,GENERAL,2022-03-17 07:25:08
Mortgage rates rise above 4 for the first time since 2019  CNN20220317T155828Z,Mortgage rates rise above 4% for the first time since 2019 - CNN,"Mortgage rates climbed past 4% for the first time since May 2019. The 30-year fixed-rate mortgage averaged 4.16% in the week ending March 17, up from 3.85% the week before, according to Freddie Mac.",https://www.cnn.com/2022/03/17/homes/mortgage-rates-climb-march-17/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220316173932-01-us-mortgage-rates-march-17-super-tease.jpg,CNN,,GENERAL,2022-03-17 10:58:28
Mortgage rates rise above 4% for the first time since 2019 - CNN2022-03-17T15:58:28Z,Mortgage rates rise above 4% for the first time since 2019 - CNN,"Mortgage rates climbed past 4% for the first time since May 2019. The 30-year fixed-rate mortgage averaged 4.16% in the week ending March 17, up from 3.85% the week before, according to Freddie Mac.",https://www.cnn.com/2022/03/17/homes/mortgage-rates-climb-march-17/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220316173932-01-us-mortgage-rates-march-17-super-tease.jpg,CNN,,GENERAL,2022-03-17 10:58:28
Watch NASA roll mega Artemis I moon rocket out to the launchpad - CNN2022-03-17T14:06:26Z,Watch NASA roll mega Artemis I moon rocket out to the launchpad - CNN,"On Thursday, NASA's 322-foot-tall Artemis I stack, including the mega SLS rocket and Orion capsule, will begin rolling out of the Vehicle Assembly Building at Cape Canaveral and undergo an 11-hour, 4-mile ride to the launchpad aboard an Apollo-era giant NASA …",https://www.cnn.com/2022/03/17/world/nasa-artemis-i-rollout-pad-scn/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220316184257-01-artemis-1-rollout-super-tease.jpg,CNN,,GENERAL,2022-03-17 09:06:26
"Say hello to Horridus, one of the most complete Triceratops fossils found on Earth - CNN20220320T060331Z","Say hello to Horridus, one of the most complete Triceratops fossils found on Earth - CNN","The dinosaur was found in Montana after a rainstorm, then excavated and transported to Australia. A permanent exhibit recently opened in the Melbourne Museum, allowing visitors to view the fearsome animal up close.",https://www.cnn.com/2022/03/20/world/horridus-triceratops-skeleton-melbourne-scn/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220317141423-01-horridus-triceratops-australia-super-tease.jpg,"{""id"":""cnn"",""name"":""CNN""}",,GENERAL,2022-03-20 01:03:31
